Galaxy,Source No.,RA,Dec
,159,05 22 32.85,-69 34 32.29
,160,05 22 32.92,-69 28 16.63
,161,05 22 33.03,-69 24 31.05
,162,05 22 33.43,-69 31 59.54
,163,05 22 34.21,-69 32 51.90
,164,05 22 34.71,-69 31 09.43
,165,05 22 35.13,-69 34 19.86
,166,05 22 36.16,-69 30 39.73
,167,05 22 36.39,-69 27 21.22
,168,05 22 36.50,-69 28 29.61
,169,05 22 36.58,-69 27 57.31
,170,05 22 37.29,-69 26 00.08
,171,05 22 37.63,-69 28 48.86
,172,05 22 37.84,-69 31 09.10
,173,05 22 38.49,-69 25 18.57
,174,05 22 38.53,-69 30 52.40
,175,05 22 38.79,-69 34 49.32
,176,05 22 39.33,-69 30 22.43
,177,05 22 39.37,-69 31 28.85
,178,05 22 39.97,-69 31 06.91
,179,05 22 40.04,-69 26 57.54
,180,05 22 40.13,-69 34 09.29
,181,05 22 40.57,-69 31 33.84
,182,05 22 41.29,-69 31 43.96
,183,05 22 41.85,-69 31 08.07
,184,05 22 42.60,-69 33 40.63
,185,05 22 43.05,-69 32 55.80
,186,05 22 43.39,-69 31 18.07
,187,05 22 44.13,-69 32 48.80
,188,05 22 44.22,-69 33 05.78
,189,05 22 44.91,-69 30 28.94
,190,05 22 45.09,-69 33 31.65
,191,05 22 45.90,-69 33 52.11
,192,05 22 46.41,-69 26 16.77
,193,05 22 46.72,-69 26 53.69
,194,05 22 46.91,-69 29 33.11
,195,05 22 47.48,-69 31 17.94
,196,05 22 48.14,-69 32 48.01
,197,05 22 50.15,-69 28 08.15
,198,05 22 50.89,-69 28 13.27
,199,05 22 51.05,-69 32 25.02
,200,05 22 52.04,-69 29 48.11
,201,05 22 52.26,-69 32 31.15
,202,05 22 52.79,-69 32 32.97
,203,05 22 52.93,-69 27 28.42
,204,05 22 53.67,-69 27 47.32
,205,05 22 53.83,-69 35 16.62
,206,05 22 53.85,-69 26 35.66
,207,05 22 54.07,-69 32 00.31
,208,05 22 54.11,-69 26 50.76
,209,05 22 55.37,-69 29 52.86
,210,05 22 55.88,-69 28 49.74
,211,05 22 56.62,-69 34 38.37
,212,05 22 56.66,-69 27 30.73
,213,05 22 57.29,-69 32 24.94
,214,05 22 57.89,-69 31 14.24
,215,05 22 58.23,-69 28 40.99
,216,05 22 58.78,-69 34 40.67
,217,05 22 58.84,-69 26 11.45
,218,05 22 59.50,-69 30 33.96
,219,05 23 00.28,-69 32 42.66
,220,05 23 00.37,-69 32 45.61
,221,05 23 01.23,-69 34 39.80
,222,05 23 01.30,-69 29 54.92
,223,05 23 01.30,-69 34 50.38
,224,05 23 02.27,-69 31 55.51
,225,05 23 02.43,-69 28 15.34
,226,05 23 03.51,-69 29 46.41
,227,05 23 03.70,-69 29 17.14
,228,05 23 03.93,-69 28 45.66
,229,05 23 03.93,-69 28 50.09
,230,05 23 04.33,-69 28 27.48
,231,05 23 05.61,-69 26 46.18
,232,05 23 06.01,-69 31 39.92
,233,05 23 06.59,-69 32 28.65
,234,05 23 06.90,-69 30 06.97
,235,05 23 07.76,-69 26 41.34
,236,05 23 08.39,-69 32 33.40
,237,05 23 09.09,-69 30 43.47
,238,05 23 09.21,-69 35 48.52
,239,05 23 11.15,-69 30 48.47
,240,05 23 11.18,-69 27 13.46
,241,05 23 11.31,-69 28 14.80
,242,05 23 11.31,-69 32 34.91
,243,05 23 11.53,-69 29 36.16
