Galaxy,Source No.,RA,Dec
,2645,12 29 46.33,+08 00 09.31
,2646,12 29 46.36,+08 01 27.08
,2647,12 29 46.39,+07 57 42.30
,2648,12 29 46.40,+07 59 45.38
,2649,12 29 46.47,+07 59 39.67
,2650,12 29 46.58,+07 59 32.11
,2651,12 29 46.62,+08 00 16.16
,2652,12 29 46.68,+08 00 35.26
,2653,12 29 46.72,+07 54 42.86
,2654,12 29 46.75,+08 00 08.41
,2655,12 29 46.76,+08 00 45.79
,2656,12 29 46.77,+08 00 20.49
,2657,12 29 46.78,+08 00 01.64
,2658,12 29 46.79,+08 00 50.35
,2659,12 29 46.84,+07 58 58.35
,2660,12 29 46.86,+07 59 57.89
,2661,12 29 46.96,+07 59 55.34
,2662,12 29 47.01,+08 00 01.82
,2663,12 29 47.03,+07 58 46.86
,2664,12 29 47.04,+07 59 43.10
,2665,12 29 47.04,+08 00 13.18
,2666,12 29 47.14,+07 58 33.95
,2667,12 29 47.14,+07 59 54.75
,2668,12 29 47.28,+07 59 45.04
,2669,12 29 47.31,+07 59 53.51
,2670,12 29 47.31,+08 00 56.94
,2671,12 29 47.36,+07 57 37.85
,2672,12 29 47.42,+07 59 12.18
,2673,12 29 47.43,+07 56 11.23
,2674,12 29 47.45,+08 00 07.58
,2675,12 29 47.61,+07 58 43.25
,2676,12 29 47.66,+08 01 19.37
,2677,12 29 47.67,+08 01 42.67
,2678,12 29 47.68,+08 00 26.46
,2679,12 29 47.73,+07 58 58.46
,2680,12 29 47.74,+07 59 25.67
,2681,12 29 47.76,+08 00 28.28
,2682,12 29 47.78,+07 52 00.20
,2683,12 29 47.81,+08 00 19.86
,2684,12 29 47.86,+08 00 16.62
,2685,12 29 47.87,+07 59 33.82
,2686,12 29 47.87,+07 59 43.89
,2687,12 29 47.87,+07 59 52.22
,2688,12 29 47.87,+08 00 36.67
,2689,12 29 47.88,+07 59 18.68
,2690,12 29 47.95,+08 00 07.73
,2691,12 29 48.02,+07 58 34.86
,2692,12 29 48.04,+07 59 07.81
,2693,12 29 48.08,+07 59 41.34
,2694,12 29 48.10,+07 59 59.66
,2695,12 29 48.17,+08 00 24.21
,2696,12 29 48.20,+08 00 19.56
,2697,12 29 48.21,+08 00 59.10
,2698,12 29 48.32,+07 59 32.26
,2699,12 29 48.32,+08 06 38.29
,2700,12 29 48.39,+08 00 19.79
,2701,12 29 48.50,+08 00 36.09
,2702,12 29 48.57,+07 59 53.96
,2703,12 29 48.61,+07 59 43.44
,2704,12 29 48.62,+07 59 13.28
,2705,12 29 48.70,+08 08 05.31
,2706,12 29 48.75,+08 01 17.51
,2707,12 29 48.88,+08 04 03.74
,2708,12 29 48.96,+07 58 45.76
,2709,12 29 49.01,+07 59 46.19
,2710,12 29 49.02,+07 58 51.38
,2711,12 29 49.04,+07 59 31.01
,2712,12 29 49.10,+08 00 27.29
,2713,12 29 49.21,+08 03 16.91
,2714,12 29 49.27,+08 01 46.53
,2715,12 29 49.31,+08 02 18.63
,2716,12 29 49.33,+08 00 12.82
,2717,12 29 49.35,+07 54 11.13
,2718,12 29 49.36,+07 57 53.24
,2719,12 29 49.46,+07 59 34.36
,2720,12 29 49.47,+08 03 20.58
,2721,12 29 49.54,+07 59 10.53
,2722,12 29 49.54,+07 59 24.92
,2723,12 29 49.64,+08 05 26.73
,2724,12 29 49.81,+08 00 25.36
,2725,12 29 49.82,+07 57 06.77
,2726,12 29 49.91,+07 59 58.76
,2727,12 29 49.95,+07 50 13.41
,2728,12 29 50.11,+07 55 50.29
,2729,12 29 50.13,+07 59 43.54
,2730,12 29 50.14,+08 01 19.08
,2731,12 29 50.25,+07 59 31.19
,2732,12 29 50.26,+07 58 24.15
,2733,12 29 50.30,+08 00 35.73
,2734,12 29 50.31,+07 55 34.79
,2735,12 29 50.36,+08 05 16.37
,2736,12 29 50.41,+08 00 13.53
,2737,12 29 50.55,+07 59 19.78
,2738,12 29 50.66,+08 00 23.25
,2739,12 29 50.67,+07 57 50.30
,2740,12 29 50.74,+08 01 11.05
,2741,12 29 50.82,+08 02 45.45
,2742,12 29 50.82,+08 08 23.27
,2743,12 29 50.85,+07 58 17.53
,2744,12 29 50.88,+08 00 09.71
,2745,12 29 50.88,+08 02 11.25
,2746,12 29 50.92,+07 59 14.42
,2747,12 29 50.93,+07 51 47.87
,2748,12 29 51.02,+07 44 32.17
,2749,12 29 51.16,+08 02 25.00
,2750,12 29 51.18,+07 58 26.81
,2751,12 29 51.35,+07 59 17.14
,2752,12 29 51.57,+07 57 59.16
,2753,12 29 51.58,+07 57 04.27
,2754,12 29 51.67,+07 59 30.90
,2755,12 29 51.70,+07 58 23.68
,2756,12 29 51.73,+07 59 59.86
,2757,12 29 51.80,+08 02 20.79
,2758,12 29 51.90,+08 00 19.22
,2759,12 29 52.03,+08 07 16.72
,2760,12 29 52.51,+08 08 20.50
,2761,12 29 52.52,+08 00 01.77
,2762,12 29 52.59,+08 00 16.08
,2763,12 29 52.62,+08 01 09.42
,2764,12 29 52.70,+07 57 09.68
,2765,12 29 52.74,+08 01 55.97
,2766,12 29 52.82,+07 58 19.15
,2767,12 29 52.87,+07 59 56.59
,2768,12 29 52.90,+07 59 31.05
,2769,12 29 52.91,+07 57 54.71
,2770,12 29 52.97,+07 56 30.92
,2771,12 29 53.08,+08 00 52.44
,2772,12 29 53.17,+07 57 23.74
,2773,12 29 53.22,+07 49 28.80
,2774,12 29 53.34,+07 59 51.74
,2775,12 29 53.35,+08 00 26.01
,2776,12 29 53.36,+08 03 09.34
,2777,12 29 53.37,+07 51 13.76
,2778,12 29 53.38,+08 00 53.12
,2779,12 29 53.70,+08 02 40.90
,2780,12 29 53.71,+07 59 37.99
,2781,12 29 53.98,+08 02 35.49
,2782,12 29 54.08,+07 57 17.84
,2783,12 29 54.14,+07 57 20.79
,2784,12 29 54.15,+08 08 16.53
,2785,12 29 54.18,+08 06 41.22
,2786,12 29 54.25,+08 00 09.57
,2787,12 29 54.30,+07 56 12.32
,2788,12 29 54.30,+08 00 57.93
,2789,12 29 54.37,+08 01 13.80
,2790,12 29 54.39,+07 51 58.53
,2791,12 29 54.43,+08 04 11.06
,2792,12 29 54.65,+08 08 15.95
,2793,12 29 54.82,+07 56 04.21
,2794,12 29 54.86,+08 02 05.57
,2795,12 29 55.02,+07 56 18.48
,2796,12 29 55.46,+08 02 59.85
,2797,12 29 55.49,+07 56 52.33
,2798,12 29 55.74,+08 03 55.63
,2799,12 29 55.84,+07 57 23.31
,2800,12 29 55.86,+08 00 03.52
,2801,12 29 56.22,+07 58 22.73
,2802,12 29 56.33,+08 04 23.45
,2803,12 29 56.35,+08 00 30.54
,2804,12 29 56.40,+08 00 08.98
,2805,12 29 56.70,+07 57 28.07
,2806,12 29 56.73,+08 09 09.86
,2807,12 29 56.77,+07 58 55.24
,2808,12 29 56.97,+08 09 14.19
,2809,12 29 57.32,+07 51 18.18
,2810,12 29 57.40,+08 08 01.37
,2811,12 29 57.64,+07 59 32.08
,2812,12 29 57.65,+07 57 28.99
,2813,12 29 57.69,+08 04 30.70
,2814,12 29 57.87,+07 59 28.18
,2815,12 29 58.00,+07 58 04.85
,2816,12 29 58.38,+08 10 09.61
,2817,12 29 58.60,+08 04 30.23
,2818,12 29 58.67,+08 04 16.25
,2819,12 29 59.20,+07 56 52.11
,2820,12 29 59.27,+08 00 04.32
,2821,12 29 59.33,+08 01 48.17
,2822,12 29 59.48,+07 59 54.14
,2823,12 29 59.64,+07 54 59.51
,2824,12 29 59.95,+08 01 14.21
,2825,12 30 00.03,+07 57 29.15
,2826,12 30 00.67,+07 57 51.57
,2827,12 30 00.90,+07 57 46.23
,2828,12 30 01.33,+07 57 54.34
,2829,12 30 02.02,+07 57 18.43
,2830,12 30 02.05,+08 00 50.24
,2831,12 30 02.34,+08 07 19.54
,2832,12 30 02.45,+08 05 15.07
,2833,12 30 02.59,+07 58 38.66
,2834,12 30 02.78,+08 05 04.03
,2835,12 30 03.01,+08 00 18.30
,2836,12 30 03.32,+08 06 30.83
,2837,12 30 03.46,+08 02 20.65
,2838,12 30 04.91,+08 03 16.26
,2839,12 30 05.06,+08 01 40.68
,2840,12 30 05.95,+08 09 41.83
,2841,12 30 06.25,+08 02 03.03
,2842,12 30 06.82,+08 07 37.86
,2843,12 30 10.93,+08 09 49.08
,2844,12 30 14.49,+07 54 57.08
,2845,12 30 14.58,+07 52 05.37
,2846,12 30 17.01,+08 01 07.54
,2847,12 30 17.92,+07 57 15.87
,2848,12 30 18.98,+07 58 56.99
,2849,12 30 19.89,+07 57 43.97
,2850,12 30 22.05,+08 01 54.04
,2851,12 30 23.09,+07 56 38.00
,2852,12 30 23.36,+07 53 04.37
,2853,12 30 23.96,+08 06 31.56
,2854,12 30 27.53,+08 07 29.82
,2855,12 30 30.50,+07 58 04.80
,2856,12 30 34.44,+08 05 25.99
M51,2857,13 28 37.36,+47 16 02.13
,2858,13 28 38.60,+47 08 33.48
,2859,13 28 43.43,+47 16 24.84
,2860,13 28 48.45,+47 12 07.66
,2861,13 28 49.45,+47 17 47.67
,2862,13 28 50.94,+47 19 01.04
,2863,13 28 54.62,+47 08 10.99
,2864,13 28 57.45,+47 16 36.46
,2865,13 28 58.63,+47 18 00.75
,2866,13 28 59.55,+47 19 46.75
,2867,13 29 00.63,+47 21 31.05
,2868,13 29 00.95,+47 13 54.38
,2869,13 29 03.52,+47 02 32.06
,2870,13 29 04.53,+47 01 09.52
,2871,13 29 06.81,+47 09 12.60
,2872,13 29 08.51,+47 11 56.28
,2873,13 29 08.81,+47 19 19.01
,2874,13 29 09.29,+47 19 20.74
,2875,13 29 10.78,+47 22 10.78
,2876,13 29 11.84,+47 17 38.80
,2877,13 29 12.19,+47 13 04.24
,2878,13 29 16.11,+47 09 43.87
,2879,13 29 17.05,+47 06 12.10
,2880,13 29 18.33,+47 15 50.97
,2881,13 29 18.38,+47 04 58.66
,2882,13 29 19.61,+47 22 23.37
,2883,13 29 20.50,+47 17 59.02
,2884,13 29 22.41,+47 17 46.81
,2885,13 29 22.67,+47 10 25.55
,2886,13 29 23.77,+47 12 14.37
,2887,13 29 25.90,+47 16 37.19
,2888,13 29 25.93,+47 13 59.00
,2889,13 29 26.16,+47 21 06.75
,2890,13 29 26.69,+47 12 35.38
,2891,13 29 26.95,+47 08 15.38
,2892,13 29 27.01,+47 13 53.37
,2893,13 29 27.62,+47 20 15.61
,2894,13 29 28.69,+47 18 42.99
,2895,13 29 28.97,+47 18 44.90
,2896,13 29 30.49,+47 12 50.34
,2897,13 29 31.62,+47 16 34.13
,2898,13 29 31.94,+47 10 56.20
,2899,13 29 33.23,+47 13 39.01
,2900,13 29 33.29,+47 14 40.68
,2901,13 29 33.33,+47 13 57.84
,2902,13 29 33.48,+47 15 25.53
,2903,13 29 34.80,+47 10 58.10
,2904,13 29 34.92,+47 09 35.14
,2905,13 29 35.03,+47 19 56.41
,2906,13 29 35.70,+47 12 00.95
,2907,13 29 36.38,+47 17 51.09
,2908,13 29 36.57,+47 11 04.60
,2909,13 29 37.07,+47 13 30.30
,2910,13 29 37.09,+47 10 48.66
,2911,13 29 37.19,+47 16 12.21
,2912,13 29 37.77,+47 09 12.75
,2913,13 29 38.01,+47 08 32.67
,2914,13 29 38.05,+47 16 14.24
,2915,13 29 38.24,+47 16 14.21
,2916,13 29 38.40,+47 09 16.06
,2917,13 29 38.59,+47 18 53.76
,2918,13 29 38.61,+47 10 02.49
,2919,13 29 38.70,+47 13 36.27
,2920,13 29 38.71,+47 18 32.84
,2921,13 29 38.96,+47 13 23.96
,2922,13 29 39.01,+47 11 03.77
,2923,13 29 39.49,+47 12 43.73
,2924,13 29 39.98,+47 12 36.97
,2925,13 29 40.40,+47 08 23.01
,2926,13 29 40.95,+47 11 39.61
,2927,13 29 40.98,+47 15 55.13
,2928,13 29 41.68,+47 10 52.57
,2929,13 29 41.98,+47 12 19.30
,2930,13 29 42.28,+47 14 48.04
,2931,13 29 42.31,+47 10 46.22
,2932,13 29 42.54,+47 10 43.01
,2933,13 29 42.63,+47 11 27.53
,2934,13 29 42.95,+47 18 26.03
,2935,13 29 43.35,+47 11 34.89
,2936,13 29 43.42,+47 12 01.45
,2937,13 29 43.43,+47 15 25.07
,2938,13 29 43.91,+47 25 50.38
,2939,13 29 44.04,+47 14 34.48
,2940,13 29 44.18,+47 12 45.83
,2941,13 29 44.47,+47 07 39.08
,2942,13 29 44.57,+47 13 56.86
,2943,13 29 44.59,+47 08 12.14
,2944,13 29 44.86,+47 11 24.62
,2945,13 29 44.93,+47 11 28.40
,2946,13 29 45.16,+47 19 30.82
,2947,13 29 45.53,+47 11 25.12
,2948,13 29 45.53,+47 11 51.24
,2949,13 29 46.12,+47 10 42.35
,2950,13 29 46.79,+47 11 06.20
,2951,13 29 47.48,+47 09 40.79
,2952,13 29 47.52,+47 13 00.98
,2953,13 29 47.81,+47 10 32.11
,2954,13 29 48.81,+47 11 21.71
,2955,13 29 49.08,+47 10 53.51
,2956,13 29 49.14,+47 12 56.94
,2957,13 29 49.42,+47 09 49.76
,2958,13 29 49.62,+47 11 15.97
,2959,13 29 49.63,+47 09 10.58
,2960,13 29 50.12,+47 11 39.58
,2961,13 29 50.69,+47 11 55.30
,2962,13 29 51.27,+47 11 38.37
,2963,13 29 51.38,+47 10 32.69
,2964,13 29 51.51,+47 09 49.98
,2965,13 29 51.74,+47 10 10.32
,2966,13 29 51.79,+47 11 52.26
,2967,13 29 51.84,+47 12 04.01
,2968,13 29 51.86,+47 11 12.40
,2969,13 29 51.90,+47 11 46.41
,2970,13 29 51.91,+47 01 15.62
,2971,13 29 52.09,+47 12 13.03
,2972,13 29 52.22,+47 11 10.38
,2973,13 29 52.24,+47 11 29.57
,2974,13 29 52.38,+47 11 47.27
,2975,13 29 52.42,+47 12 48.72
,2976,13 29 52.50,+47 11 00.17
,2977,13 29 52.73,+47 11 34.34
,2978,13 29 52.73,+47 11 42.83
,2979,13 29 52.74,+47 10 51.53
,2980,13 29 52.77,+47 12 44.73
,2981,13 29 52.80,+47 16 44.66
,2982,13 29 52.82,+47 11 39.76
,2983,13 29 52.86,+47 11 52.18
,2984,13 29 53.00,+47 19 16.50
,2985,13 29 53.19,+47 10 16.07
,2986,13 29 53.19,+47 10 26.60
,2987,13 29 53.33,+47 10 42.71
,2988,13 29 53.42,+47 08 29.72
,2989,13 29 53.54,+47 11 33.33
,2990,13 29 53.55,+47 11 26.50
,2991,13 29 53.56,+47 10 13.52
,2992,13 29 53.56,+47 21 14.60
,2993,13 29 53.66,+47 13 22.48
,2994,13 29 53.67,+47 11 39.29
,2995,13 29 53.74,+47 14 35.84
,2996,13 29 53.78,+47 22 38.32
,2997,13 29 53.81,+47 14 31.57
,2998,13 29 53.91,+47 09 53.95
,2999,13 29 54.00,+47 10 31.39
,3000,13 29 54.17,+47 10 03.65
,3001,13 29 54.19,+47 11 37.21
,3002,13 29 54.26,+47 13 00.42
,3003,13 29 54.32,+47 11 30.11
,3004,13 29 54.36,+47 11 53.06
,3005,13 29 54.40,+47 11 21.59
,3006,13 29 54.55,+47 09 21.86
,3007,13 29 54.61,+47 12 06.79
,3008,13 29 54.61,+47 13 17.23
,3009,13 29 54.80,+47 11 36.33
,3010,13 29 54.89,+47 13 54.03
,3011,13 29 54.97,+47 09 22.82
,3012,13 29 54.98,+47 11 02.58
,3013,13 29 55.07,+47 08 40.30
,3014,13 29 55.15,+47 10 42.45
,3015,13 29 55.30,+47 06 35.42
,3016,13 29 55.32,+47 13 55.41
,3017,13 29 55.59,+47 09 18.97
,3018,13 29 55.61,+47 15 55.02
,3019,13 29 55.86,+47 11 44.74
,3020,13 29 56.03,+47 12 28.44
,3021,13 29 56.13,+47 12 36.66
,3022,13 29 56.19,+47 10 47.44
,3023,13 29 56.26,+47 08 27.08
,3024,13 29 56.43,+47 16 10.27
,3025,13 29 56.92,+47 12 03.83
,3026,13 29 57.00,+47 07 00.68
,3027,13 29 57.19,+47 15 56.58
,3028,13 29 57.25,+47 18 43.89
,3029,13 29 57.50,+47 16 11.95
,3030,13 29 57.58,+47 10 48.67
,3031,13 29 57.63,+47 12 06.40
,3032,13 29 57.76,+47 23 24.62
,3033,13 29 57.78,+47 11 34.78
,3034,13 29 58.20,+47 07 21.71
,3035,13 29 58.23,+47 11 45.16
,3036,13 29 58.31,+47 13 32.57
,3037,13 29 58.36,+47 13 20.39
,3038,13 29 58.72,+47 16 26.45
,3039,13 29 58.74,+47 10 30.08
,3040,13 29 58.79,+47 25 09.12
,3041,13 29 58.83,+47 12 44.91
,3042,13 29 58.96,+47 05 33.15
,3043,13 29 59.03,+47 14 34.04
,3044,13 29 59.08,+47 13 18.51
,3045,13 29 59.49,+47 15 58.08
,3046,13 29 59.95,+47 15 39.90
,3047,13 30 00.28,+47 07 29.29
,3048,13 30 00.53,+47 07 45.24
,3049,13 30 00.58,+47 11 28.67
,3050,13 30 00.67,+47 15 30.33
,3051,13 30 00.78,+47 12 12.71
,3052,13 30 00.91,+47 14 48.07
,3053,13 30 01.02,+47 13 43.99
,3054,13 30 01.23,+47 13 01.54
,3055,13 30 01.30,+47 12 43.91
,3056,13 30 01.88,+47 12 28.39
,3057,13 30 01.99,+47 15 06.78
,3058,13 30 02.04,+47 08 48.61
,3059,13 30 02.09,+47 12 38.53
,3060,13 30 02.70,+47 16 01.81
,3061,13 30 03.21,+47 12 53.34
,3062,13 30 03.42,+47 06 13.62
,3063,13 30 03.75,+47 16 10.89
,3064,13 30 04.08,+47 10 03.90
,3065,13 30 04.31,+47 13 20.84
,3066,13 30 04.50,+47 09 49.53
,3067,13 30 04.65,+47 14 17.38
,3068,13 30 04.82,+47 11 25.77
,3069,13 30 05.08,+47 10 54.12
,3070,13 30 05.12,+47 10 11.01
,3071,13 30 05.14,+47 10 35.82
,3072,13 30 05.39,+47 04 35.56
,3073,13 30 05.85,+47 10 32.26
,3074,13 30 05.95,+47 08 43.87
,3075,13 30 06.00,+47 14 04.85
,3076,13 30 06.01,+47 15 42.48
,3077,13 30 06.29,+47 10 17.21
,3078,13 30 06.31,+47 14 37.47
,3079,13 30 06.46,+47 08 34.81
,3080,13 30 06.63,+47 13 56.54
,3081,13 30 06.87,+47 05 27.55
,3082,13 30 07.04,+47 13 31.04
,3083,13 30 07.55,+47 11 06.22
,3084,13 30 07.71,+47 23 47.93
,3085,13 30 07.82,+47 12 45.39
,3086,13 30 08.00,+47 10 33.45
,3087,13 30 08.18,+47 13 21.62
,3088,13 30 08.53,+47 08 37.75
,3089,13 30 08.72,+47 05 55.19
,3090,13 30 08.86,+47 12 19.11
,3091,13 30 09.28,+47 08 12.08
,3092,13 30 10.10,+47 13 27.71
,3093,13 30 11.02,+47 10 41.16
,3094,13 30 12.52,+47 19 28.62
,3095,13 30 13.07,+47 09 35.18
,3096,13 30 13.76,+47 09 03.36
,3097,13 30 14.13,+47 11 47.58
,3098,13 30 14.38,+47 12 41.79
,3099,13 30 14.87,+47 18 22.06
,3100,13 30 14.91,+47 04 52.53
,3101,13 30 15.02,+47 06 33.14
,3102,13 30 15.10,+47 15 39.78
,3103,13 30 15.53,+47 08 30.34
,3104,13 30 15.71,+47 15 16.99
,3105,13 30 16.04,+47 10 24.42
,3106,13 30 16.58,+47 12 10.33
,3107,13 30 16.97,+47 02 34.06
,3108,13 30 17.08,+47 17 03.87
,3109,13 30 17.12,+47 10 31.36
,3110,13 30 17.65,+47 20 42.38
,3111,13 30 18.65,+47 12 00.71
,3112,13 30 19.60,+47 13 33.53
,3113,13 30 19.93,+47 11 40.81
,3114,13 30 19.98,+47 08 17.47
,3115,13 30 20.44,+47 06 48.78
,3116,13 30 20.69,+47 11 40.39
,3117,13 30 20.92,+47 13 53.48
,3118,13 30 21.41,+47 12 56.91
,3119,13 30 21.72,+47 03 42.41
,3120,13 30 21.78,+47 13 36.96
,3121,13 30 22.65,+47 12 01.35
,3122,13 30 23.92,+47 10 07.58
,3123,13 30 23.97,+47 09 45.93
,3124,13 30 24.34,+47 15 59.16
,3125,13 30 25.07,+47 13 15.13
,3126,13 30 25.23,+47 05 16.67
,3127,13 30 25.24,+47 13 13.62
,3128,13 30 25.91,+47 11 18.45
,3129,13 30 26.35,+47 05 05.85
,3130,13 30 26.59,+47 11 29.19
,3131,13 30 26.87,+47 05 54.92
,3132,13 30 28.43,+47 15 19.99
,3133,13 30 28.67,+47 16 04.76
,3134,13 30 28.95,+47 09 23.03
,3135,13 30 29.15,+47 11 38.10
,3136,13 30 29.33,+47 14 29.47
,3137,13 30 30.12,+47 07 53.21
,3138,13 30 31.32,+47 12 18.36
,3139,13 30 32.83,+47 13 34.14
,3140,13 30 33.95,+47 09 44.24
,3141,13 30 35.39,+47 06 33.36
,3142,13 30 36.27,+47 13 22.10
,3143,13 30 39.13,+47 10 15.69
,3144,13 30 39.23,+47 08 43.82
,3145,13 30 41.15,+47 06 35.49
,3146,13 30 42.10,+47 15 57.61
,3147,13 30 42.93,+47 10 35.33
,3148,13 30 44.11,+47 04 03.03
,3149,13 30 44.35,+47 03 54.32
,3150,13 30 47.13,+47 16 08.31
,3151,13 30 47.57,+47 04 36.31
,3152,13 30 52.62,+47 02 32.30
,3153,13 30 54.00,+47 10 27.57
,3154,13 30 57.51,+46 55 58.94
,3155,13 30 58.21,+47 03 52.85
,3156,13 30 59.45,+47 06 06.37
,3157,13 30 59.52,+47 05 59.79
,3158,13 31 00.14,+47 08 38.16
,3159,13 31 03.58,+46 59 51.13
,3160,13 31 03.62,+46 59 46.39
,3161,13 31 03.74,+46 59 36.56
,3162,13 31 05.00,+47 01 26.80
,3163,13 31 05.74,+47 06 19.43
,3164,13 31 09.11,+47 02 12.14
,3165,13 31 09.71,+47 10 13.61
,3166,13 31 13.43,+47 02 59.76
,3167,13 31 19.41,+47 03 23.99
,3168,13 31 25.40,+47 01 27.00
,3169,13 31 29.74,+46 59 34.86
M74,3170,01 35 54.84,+15 57 55.29
,3171,01 35 57.24,+15 57 43.15
,3172,01 35 58.82,+15 45 12.88
,3173,01 36 04.42,+15 52 39.19
,3174,01 36 05.03,+15 38 37.88
,3175,01 36 06.70,+15 50 26.62
,3176,01 36 08.89,+15 43 59.85
,3177,01 36 09.18,+15 42 39.79
,3178,01 36 10.96,+15 47 23.64
,3179,01 36 11.25,+16 02 05.06
,3180,01 36 12.46,+15 45 22.38
,3181,01 36 12.48,+15 49 58.90
,3182,01 36 12.64,+15 49 57.09
,3183,01 36 13.97,+15 53 40.30
,3184,01 36 14.32,+15 47 33.42
,3185,01 36 14.59,+15 56 31.52
,3186,01 36 15.24,+15 43 41.63
,3187,01 36 15.72,+15 33 36.39
,3188,01 36 17.36,+15 50 12.46
,3189,01 36 17.91,+15 46 33.92
,3190,01 36 17.94,+15 37 10.92
,3191,01 36 19.27,+15 39 52.87
,3192,01 36 19.30,+15 30 28.48
,3193,01 36 19.45,+15 45 22.83
,3194,01 36 20.32,+15 45 52.51
,3195,01 36 21.51,+15 37 13.41
,3196,01 36 23.60,+15 44 58.27
,3197,01 36 23.65,+15 43 10.17
,3198,01 36 24.23,+15 42 14.88
,3199,01 36 24.97,+15 45 37.34
,3200,01 36 25.17,+15 48 59.48
,3201,01 36 26.82,+15 43 04.11
,3202,01 36 27.89,+15 47 52.46
,3203,01 36 28.80,+15 48 58.79
,3204,01 36 29.07,+15 43 19.09
,3205,01 36 29.58,+15 46 56.48
,3206,01 36 29.61,+15 57 28.52
,3207,01 36 30.24,+15 45 20.80
,3208,01 36 30.47,+15 45 19.58
,3209,01 36 30.94,+15 52 39.28
,3210,01 36 31.23,+15 44 58.29
,3211,01 36 31.78,+15 48 48.51
,3212,01 36 32.10,+15 45 07.32
,3213,01 36 32.12,+15 47 26.88
,3214,01 36 35.28,+15 46 57.42
,3215,01 36 35.30,+15 42 27.94
,3216,01 36 35.33,+15 47 12.05
,3217,01 36 35.45,+15 49 53.49
,3218,01 36 35.77,+15 45 56.26
,3219,01 36 36.12,+15 47 49.38
,3220,01 36 37.68,+15 47 17.79
,3221,01 36 37.71,+15 47 40.71
,3222,01 36 37.86,+15 44 09.78
,3223,01 36 37.95,+15 47 49.65
,3224,01 36 38.01,+15 54 29.13
,3225,01 36 39.02,+15 46 07.82
,3226,01 36 39.05,+15 47 55.71
,3227,01 36 39.15,+15 43 10.08
,3228,01 36 39.41,+15 47 44.27
,3229,01 36 39.75,+15 42 26.08
,3230,01 36 40.54,+15 49 28.21
,3231,01 36 40.64,+15 47 13.19
,3232,01 36 40.72,+15 46 47.37
,3233,01 36 41.06,+15 47 04.86
,3234,01 36 41.54,+15 46 49.93
,3235,01 36 41.66,+15 51 17.20
,3236,01 36 41.69,+15 45 52.38
,3237,01 36 41.75,+15 47 01.22
,3238,01 36 41.97,+15 40 50.52
,3239,01 36 42.13,+15 48 57.11
,3240,01 36 43.27,+15 47 09.93
,3241,01 36 43.68,+15 47 42.87
,3242,01 36 43.71,+15 42 44.48
,3243,01 36 43.85,+15 43 57.88
,3244,01 36 43.88,+15 50 21.83
,3245,01 36 44.08,+15 49 08.03
,3246,01 36 44.14,+15 48 18.76
,3247,01 36 44.21,+15 49 01.47
,3248,01 36 44.97,+15 45 46.23
,3249,01 36 45.08,+15 48 38.31
,3250,01 36 45.37,+15 49 23.07
,3251,01 36 45.39,+15 49 10.67
,3252,01 36 46.06,+15 44 23.01
,3253,01 36 46.09,+15 41 20.17
,3254,01 36 46.62,+15 45 46.15
,3255,01 36 46.75,+15 45 11.69
,3256,01 36 47.36,+15 53 44.12
,3257,01 36 47.53,+15 50 03.90
,3258,01 36 47.56,+15 47 44.61
,3259,01 36 47.70,+15 43 09.14
,3260,01 36 47.74,+15 47 26.14
,3261,01 36 48.10,+15 44 45.48
,3262,01 36 48.14,+15 45 23.25
,3263,01 36 48.20,+15 45 30.82
,3264,01 36 48.20,+15 52 39.26
,3265,01 36 48.23,+15 39 31.88
,3266,01 36 48.47,+15 42 56.90
,3267,01 36 48.82,+15 46 53.07
,3268,01 36 48.86,+15 48 25.04
,3269,01 36 49.12,+15 45 27.48
,3270,01 36 49.73,+15 48 11.35
,3271,01 36 50.01,+15 49 31.13
,3272,01 36 50.23,+15 49 15.72
,3273,01 36 50.33,+15 51 16.93
,3274,01 36 50.65,+15 40 11.52
,3275,01 36 50.83,+15 53 31.80
,3276,01 36 51.09,+15 45 47.07
,3277,01 36 51.10,+15 48 47.17
,3278,01 36 51.14,+15 43 40.25
,3279,01 36 51.30,+15 37 48.90
,3280,01 36 51.83,+15 51 35.93
,3281,01 36 52.32,+15 47 37.36
,3282,01 36 52.96,+15 47 31.74
,3283,01 36 53.05,+15 50 08.12
,3284,01 36 53.09,+15 45 10.40
,3285,01 36 53.31,+15 51 00.66
,3286,01 36 53.48,+15 38 24.53
,3287,01 36 53.53,+15 39 21.25
,3288,01 36 53.67,+15 42 06.95
,3289,01 36 53.70,+15 42 34.73
,3290,01 36 53.76,+15 45 36.69
,3291,01 36 54.50,+15 45 39.67
,3292,01 36 55.92,+15 46 35.39
,3293,01 36 56.29,+15 40 31.46
,3294,01 36 56.63,+15 50 01.55
,3295,01 36 57.21,+15 53 10.89
,3296,01 36 57.33,+15 37 03.13
,3297,01 36 57.59,+15 55 25.33
,3298,01 36 59.27,+15 44 51.13
,3299,01 36 59.32,+15 46 31.38
,3300,01 36 59.60,+15 40 15.45
,3301,01 36 59.77,+15 48 11.87
,3302,01 36 59.84,+15 58 46.18
,3303,01 36 59.98,+15 49 54.94
,3304,01 37 00.17,+15 48 11.12
,3305,01 37 00.79,+15 44 41.77
,3306,01 37 01.30,+15 51 37.81
,3307,01 37 02.11,+15 45 05.51
,3308,01 37 03.19,+15 49 01.18
,3309,01 37 03.43,+15 47 53.16
